SysTime,Real_UAV_X,Real_UAV_Y,Real_UAV_Z,Real_Boat_X,Real_Boat_Y,Real_Boat_Z,Real_UAV_VZ,Real_Boat_VZ
1.77485e+09,2.08458,13.5336,3.36741,2.51317,15.079,0.495072,-2.39672,3.76465e-06
1.77485e+09,2.05674,13.5649,3.32887,2.51549,15.0929,0.495072,-2.42006,3.76465e-06
1.77485e+09,2.03316,13.591,3.2973,2.51758,15.1055,0.495072,-2.436,3.76465e-06
1.77485e+09,2.01065,13.6156,3.26799,2.51951,15.1171,0.499412,-2.44833,1.84955e-06
1.77485e+09,1.9855,13.6428,3.23609,2.52157,15.1294,0.499412,-2.45923,1.84955e-06
1.77485e+09,1.96162,13.6684,3.20653,2.52373,15.1424,0.499412,-2.46711,1.84955e-06
1.77485e+09,1.93504,13.6966,3.17441,2.52589,15.1554,0.499412,-2.47338,1.84955e-06
1.77485e+09,1.9099,13.7231,3.14471,2.52796,15.1678,0.499412,-2.47718,1.84955e-06
1.77485e+09,1.87771,13.757,3.10753,2.53031,15.1818,0.499412,-2.47939,1.84955e-06
1.77485e+09,1.84474,13.7915,3.07034,2.53257,15.1954,0.499412,-2.47896,1.84955e-06
1.77485e+09,1.81558,13.8221,3.03813,2.53478,15.2087,0.499412,-2.47661,1.84955e-06
1.77485e+09,1.78134,13.858,3.00101,2.53728,15.2237,0.498757,-2.47176,-7.72057e-08
1.77485e+09,1.75353,13.8873,2.97138,2.53953,15.2372,0.498757,-2.46635,-7.72057e-08
1.77485e+09,1.72067,13.9221,2.9369,2.54171,15.2503,0.498757,-2.45852,-7.72057e-08
1.77485e+09,1.68981,13.9549,2.905,2.54399,15.2639,0.498757,-2.45003,-7.72057e-08
1.77485e+09,1.66107,13.9857,2.87565,2.54605,15.2763,0.498757,-2.44136,-7.72057e-08
1.77485e+09,1.62972,14.0195,2.84398,2.54818,15.2891,0.498757,-2.43125,-7.72057e-08
1.77485e+09,1.60061,14.0512,2.81486,2.55028,15.3017,0.498757,-2.42142,-7.72057e-08
1.77485e+09,1.55673,14.0995,2.77141,2.55295,15.3177,0.493078,-2.40617,-2.00516e-06
1.77485e+09,1.54451,14.1131,2.75939,2.55543,15.3326,0.493078,-2.40191,-2.00516e-06
1.77485e+09,1.49065,14.1738,2.70676,2.5577,15.3462,0.493078,-2.38315,-2.00516e-06
1.77485e+09,1.46128,14.2074,2.67822,2.5598,15.3588,0.493078,-2.37342,-2.00516e-06
1.77485e+09,1.4295,14.2443,2.64743,2.56187,15.3712,0.493078,-2.36332,-2.00516e-06
1.77485e+09,1.39294,14.2874,2.61206,2.56421,15.3852,0.493078,-2.3522,-2.00516e-06
1.77485e+09,1.36381,14.3222,2.58389,2.56634,15.398,0.493078,-2.34371,-2.00516e-06
1.77485e+09,1.33241,14.3604,2.55348,2.56872,15.4123,0.482556,-2.33486,-3.92975e-06
1.77485e+09,1.29643,14.4049,2.51853,2.57112,15.4267,0.482556,-2.3249,-3.92975e-06
1.77485e+09,1.26788,14.4409,2.49068,2.57338,15.4403,0.482556,-2.31737,-3.92975e-06
1.77485e+09,1.23252,14.4862,2.45598,2.57555,15.4533,0.482556,-2.30898,-3.92975e-06
1.77485e+09,1.20222,14.5259,2.42601,2.57776,15.4665,0.482556,-2.3027,-3.92975e-06
