Time,UAV_X,UAV_Y,UAV_Z,Boat_X,Boat_Y,Boat_Z,Dist_XY,Dist_Z,Rel_Speed,Rel_VZ,Wave_Z,Success,Reason
1.7745e+09,3.1293,18.5818,-0.482291,3.02436,18.1462,-0.494499,0.448079,0.0122079,1.30059,0.420027,-0.494499,1,Touchdown_Success
1.7745e+09,3.46322,19.4958,-0.299343,3.28485,19.7091,0.215998,0.278064,0.515341,2.98435,0.119103,0.215998,1,Touchdown_Success
1.7745e+09,4.06742,24.612,-0.539628,4.1676,25.0056,-0.467296,0.406127,0.0723315,2.96543,1.82824,-0.467296,1,Touchdown_Success
1.7745e+09,3.12812,18.6254,-2.9689,3.12069,18.7241,-0.0602959,0.0989605,2.90861,1.88664,1.87974,-0.0602959,0,Timeout_Fail
1.7745e+09,2.63809,18.3132,-0.299458,3.02239,18.1344,0.104113,0.423886,0.403571,2.86403,0.298379,0.104113,1,Touchdown_Success
1.7745e+09,2.92836,17.9915,-0.082095,2.92848,17.5709,0.292541,0.420648,0.374636,2.67075,0.0699002,0.292541,1,Touchdown_Success
1.7745e+09,3.598,21.1498,0.382631,3.59923,21.5954,0.324964,0.445552,0.0576668,1.80079,0.492667,0.324964,1,Touchdown_Success
1.7745e+09,3.47894,21.3343,0.384462,3.48248,20.8949,0.48316,0.439446,0.0986978,1.05174,0.388062,0.48316,1,Touchdown_Success
1.7745e+09,2.64018,17.1888,0.103862,2.88999,17.3399,-0.041687,0.291968,0.145549,2.87915,2.35309,-0.041687,1,Touchdown_Success
1.7745e+09,5.46761,18.9907,-3.98281,3.33611,20.0167,-0.499688,2.36557,3.48312,5.41793,5.15812,-0.499688,0,Timeout_Fail
1.7745e+09,2.97921,19.8577,-0.246135,3.34689,20.0814,0.202397,0.430355,0.448532,1.98488,0.437167,0.202397,1,Touchdown_Success
1.7745e+09,2.63303,18.0399,-0.697716,2.9591,17.7546,-0.485927,0.433255,0.211788,2.99854,1.67014,-0.485927,1,Touchdown_Success
1.7745e+09,3.12402,18.9921,-0.242573,3.20715,19.2429,-0.377877,0.264244,0.135304,1.96784,1.65474,-0.377877,1,Touchdown_Success
1.7745e+09,11.7295,19.2749,-5.07391,3.38605,20.3163,0.132297,8.40822,5.20621,10.6305,4.98223,0.132297,0,Timeout_Fail
1.7745e+09,3.82748,21.542,-0.354991,3.65955,21.9573,-0.490503,0.447943,0.135512,2.2199,0.835013,-0.490503,1,Touchdown_Success
1.7745e+09,3.24021,19.2048,-2.79903,3.19235,19.1541,-0.49975,0.0697193,2.29928,1.82644,1.81468,-0.49975,0,Timeout_Fail
1.7745e+09,2.71448,18.3485,-0.0527298,3.00656,18.0394,0.306418,0.425286,0.359147,2.581,0.273826,0.306418,1,Touchdown_Success
1.7745e+09,3.0441,18.3144,-0.512812,2.9785,17.871,-0.491791,0.448267,0.0210208,2.65743,0.942099,-0.491791,1,Touchdown_Success
1.7745e+09,3.369,21.166,0.343357,3.59163,21.5498,0.496893,0.443736,0.153536,2.02642,0.85159,0.496893,1,Touchdown_Success
1.7745e+09,2.95806,19.3547,-2.33129,3.17233,19.034,-0.0960558,0.385664,2.23524,1.91739,0.103042,-0.0960558,0,Timeout_Fail
1.7745e+09,3.31691,21.8309,0.309146,3.67498,22.0499,0.194559,0.419731,0.114588,2.66071,1.52518,0.194559,1,Touchdown_Success
1.7745e+09,2.32907,21.9998,1.46413,3.49607,20.9764,-0.223229,1.55216,1.68736,8.94738,5.54645,-0.223229,0,Timeout_Fail
1.7745e+09,3.26537,19.6687,-0.205146,3.30375,19.8225,-0.345314,0.158525,0.140167,1.58962,1.27534,-0.345314,1,Touchdown_Success
1.7745e+09,2.75579,18.0768,-0.139677,2.95031,17.7019,0.179044,0.422358,0.318721,2.44117,0.759143,0.179044,1,Touchdown_Success
1.7745e+09,3.18416,18.4061,-0.0469132,3.0227,18.1362,-0.196771,0.314541,0.149857,2.50554,2.18809,-0.196771,1,Touchdown_Success
1.7745e+09,3.1663,19.0603,-0.303334,3.24562,19.4737,0.189875,0.420969,0.493209,2.90025,0.353751,0.189875,1,Touchdown_Success
1.7745e+09,3.13804,18.6672,-1.93063,3.12517,18.751,-0.388857,0.0847828,1.54177,1.78772,1.78742,-0.388857,0,Timeout_Fail
1.7745e+09,3.25448,20.207,-2.5695,3.3412,20.0472,0.451433,0.181845,3.02094,1.95328,1.94388,0.451433,0,Timeout_Fail
1.7745e+09,3.18927,19.175,-2.90614,3.21431,19.2858,-0.00535312,0.113595,2.90078,1.92058,1.91514,-0.00535312,0,Timeout_Fail
1.7745e+09,3.1849,19.2535,-0.717495,3.44064,20.6439,0.320898,1.41372,1.03839,0.322251,0.175987,0.320898,0,Timeout_Fail
1.7745e+09,3.48655,21.4642,-0.602349,3.64687,21.8812,-0.411954,0.446742,0.190395,1.89438,0.19411,-0.411954,1,Touchdown_Success
1.7745e+09,3.03648,17.9027,-0.0766714,3.05604,18.3362,0.279398,0.433949,0.356069,2.18943,0.99265,0.279398,1,Touchdown_Success
1.7745e+09,3.65878,21.9727,0.117247,3.68985,22.1391,-0.0227266,0.169247,0.139973,1.38715,1.35915,-0.0227266,1,Touchdown_Success
1.7745e+09,3.41893,20.4708,-2.5062,3.43432,20.6059,-0.472938,0.136007,2.03326,1.89317,1.87913,-0.472938,0,Timeout_Fail
1.7745e+09,3.29283,17.9773,-0.464322,3.05783,18.347,-0.439493,0.43802,0.0248296,2.3195,0.652024,-0.439493,1,Touchdown_Success
1.7745e+09,3.49653,20.815,-0.254162,3.53865,21.2319,0.337608,0.419077,0.59177,2.92583,1.08173,0.337608,1,Touchdown_Success
1.7745e+09,3.46895,19.3362,0.240306,3.1677,19.0062,0.472982,0.446814,0.232675,0.970396,0.940998,0.472982,1,Touchdown_Success
1.7745e+09,3.31425,19.8889,-3.67672,3.32564,19.9539,-0.00640746,0.0659742,3.67032,2.23055,1.7748,-0.00640746,0,Timeout_Fail
1.7745e+09,3.042,20.8348,0.400381,3.48349,20.9009,0.288985,0.446406,0.111396,1.73489,0.417975,0.288985,1,Touchdown_Success
1.7745e+09,3.17165,17.2279,-0.010399,2.92963,17.5778,0.434272,0.425482,0.444671,2.59149,0.248579,0.434272,1,Touchdown_Success
